"artista","fecha","visitas"
"Liza Minnelli","2019-03-25",473
"Liza Minnelli","2019-03-26",331
"Liza Minnelli","2019-03-27",288
"Liza Minnelli","2019-03-28",302
"Liza Minnelli","2019-03-29",276
"Liza Minnelli","2019-03-30",342
"Liza Minnelli","2019-03-31",424
"Liza Minnelli","2019-04-01",324
"Liza Minnelli","2019-04-02",306
"Liza Minnelli","2019-04-03",329
"Liza Minnelli","2019-04-04",326
"Liza Minnelli","2019-04-05",312
"Liza Minnelli","2019-04-06",343
"Liza Minnelli","2019-04-07",530
"Liza Minnelli","2019-04-08",347
"Liza Minnelli","2019-04-09",426
"Liza Minnelli","2019-04-10",408
"Liza Minnelli","2019-04-11",306
"Liza Minnelli","2019-04-12",299
"Liza Minnelli","2019-04-13",336
"Liza Minnelli","2019-04-14",457
"Liza Minnelli","2019-04-15",375
"Liza Minnelli","2019-04-16",294
"Liza Minnelli","2019-04-17",337
"Liza Minnelli","2019-04-18",368
"Liza Minnelli","2019-04-19",867
"Liza Minnelli","2019-04-20",481
"Liza Minnelli","2019-04-21",465
"Liza Minnelli","2019-04-22",362
"Liza Minnelli","2019-04-23",327
"Liza Minnelli","2019-04-24",345
"Liza Minnelli","2019-04-25",309
"Liza Minnelli","2019-04-26",359
"Liza Minnelli","2019-04-27",697
"Liza Minnelli","2019-04-28",451
"Liza Minnelli","2019-04-29",433
"Liza Minnelli","2019-04-30",309
"Liza Minnelli","2019-05-01",626
"Liza Minnelli","2019-05-02",359
"Liza Minnelli","2019-05-03",404
"Liza Minnelli","2019-05-04",394
"Liza Minnelli","2019-05-05",481
"Liza Minnelli","2019-05-06",330
"Liza Minnelli","2019-05-07",353
"Liza Minnelli","2019-05-08",328
"Liza Minnelli","2019-05-09",338
"Liza Minnelli","2019-05-10",625
"Liza Minnelli","2019-05-11",933
"Liza Minnelli","2019-05-12",874
"Liza Minnelli","2019-05-13",830
"Liza Minnelli","2019-05-14",474
"Liza Minnelli","2019-05-15",418
"Liza Minnelli","2019-05-16",337
"Liza Minnelli","2019-05-17",346
"Liza Minnelli","2019-05-18",398
"Liza Minnelli","2019-05-19",461
"Liza Minnelli","2019-05-20",388
"Liza Minnelli","2019-05-21",324
"Liza Minnelli","2019-05-22",324
"Liza Minnelli","2019-05-23",364
"Liza Minnelli","2019-05-24",289
"Liza Minnelli","2019-05-25",369
"Liza Minnelli","2019-05-26",604
"Liza Minnelli","2019-05-27",1041
"Liza Minnelli","2019-05-28",394
"Liza Minnelli","2019-05-29",365
"Liza Minnelli","2019-05-30",290
"Liza Minnelli","2019-05-31",296
"Liza Minnelli","2019-06-01",302
"Liza Minnelli","2019-06-02",393
"Liza Minnelli","2019-06-03",538
"Liza Minnelli","2019-06-04",325
"Liza Minnelli","2019-06-05",337
"Liza Minnelli","2019-06-06",260
"Liza Minnelli","2019-06-07",680
"Liza Minnelli","2019-06-08",340
"Liza Minnelli","2019-06-09",369
"Liza Minnelli","2019-06-10",871
"Liza Minnelli","2019-06-11",557
"Liza Minnelli","2019-06-12",310
"Liza Minnelli","2019-06-13",294
"Liza Minnelli","2019-06-14",432
"Liza Minnelli","2019-06-15",408
"Liza Minnelli","2019-06-16",443
"Liza Minnelli","2019-06-17",556
"Liza Minnelli","2019-06-18",612
"Liza Minnelli","2019-06-19",2652
"Liza Minnelli","2019-06-20",666
"Liza Minnelli","2019-06-21",1436
"Liza Minnelli","2019-06-22",4931
"Liza Minnelli","2019-06-23",1633
"Liza Minnelli","2019-06-24",879
"Liza Minnelli","2019-06-25",1502
"Liza Minnelli","2019-06-26",906
"Liza Minnelli","2019-06-27",544
