"artista","fecha","visitas"
"Lorena Castell","2019-03-25",937
"Lorena Castell","2019-03-26",1067
"Lorena Castell","2019-03-27",514
"Lorena Castell","2019-03-28",371
"Lorena Castell","2019-03-29",299
"Lorena Castell","2019-03-30",332
"Lorena Castell","2019-03-31",317
"Lorena Castell","2019-04-01",286
"Lorena Castell","2019-04-02",178
"Lorena Castell","2019-04-03",252
"Lorena Castell","2019-04-04",203
"Lorena Castell","2019-04-05",303
"Lorena Castell","2019-04-06",275
"Lorena Castell","2019-04-07",230
"Lorena Castell","2019-04-08",115
"Lorena Castell","2019-04-09",151
"Lorena Castell","2019-04-10",146
"Lorena Castell","2019-04-11",102
"Lorena Castell","2019-04-12",137
"Lorena Castell","2019-04-13",123
"Lorena Castell","2019-04-14",105
"Lorena Castell","2019-04-15",151
"Lorena Castell","2019-04-16",1269
"Lorena Castell","2019-04-17",218
"Lorena Castell","2019-04-18",207
"Lorena Castell","2019-04-19",935
"Lorena Castell","2019-04-20",455
"Lorena Castell","2019-04-21",153
"Lorena Castell","2019-04-22",297
"Lorena Castell","2019-04-23",266
"Lorena Castell","2019-04-24",227
"Lorena Castell","2019-04-25",231
"Lorena Castell","2019-04-26",163
"Lorena Castell","2019-04-27",121
"Lorena Castell","2019-04-28",149
"Lorena Castell","2019-04-29",94
"Lorena Castell","2019-04-30",145
"Lorena Castell","2019-05-01",155
"Lorena Castell","2019-05-02",503
"Lorena Castell","2019-05-03",210
"Lorena Castell","2019-05-04",188
"Lorena Castell","2019-05-05",319
"Lorena Castell","2019-05-06",380
"Lorena Castell","2019-05-07",164
"Lorena Castell","2019-05-08",144
"Lorena Castell","2019-05-09",260
"Lorena Castell","2019-05-10",388
"Lorena Castell","2019-05-11",146
"Lorena Castell","2019-05-12",149
"Lorena Castell","2019-05-13",334
"Lorena Castell","2019-05-14",479
"Lorena Castell","2019-05-15",223
"Lorena Castell","2019-05-16",262
"Lorena Castell","2019-05-17",161
"Lorena Castell","2019-05-18",169
"Lorena Castell","2019-05-19",201
"Lorena Castell","2019-05-20",176
"Lorena Castell","2019-05-21",159
"Lorena Castell","2019-05-22",191
"Lorena Castell","2019-05-23",201
"Lorena Castell","2019-05-24",169
"Lorena Castell","2019-05-25",162
"Lorena Castell","2019-05-26",189
"Lorena Castell","2019-05-27",156
"Lorena Castell","2019-05-28",114
"Lorena Castell","2019-05-29",194
"Lorena Castell","2019-05-30",279
"Lorena Castell","2019-05-31",352
"Lorena Castell","2019-06-01",147
"Lorena Castell","2019-06-02",171
"Lorena Castell","2019-06-03",125
"Lorena Castell","2019-06-04",198
"Lorena Castell","2019-06-05",452
"Lorena Castell","2019-06-06",269
"Lorena Castell","2019-06-07",361
"Lorena Castell","2019-06-08",192
"Lorena Castell","2019-06-09",130
"Lorena Castell","2019-06-10",135
"Lorena Castell","2019-06-11",131
"Lorena Castell","2019-06-12",155
"Lorena Castell","2019-06-13",178
"Lorena Castell","2019-06-14",534
"Lorena Castell","2019-06-15",186
"Lorena Castell","2019-06-16",195
"Lorena Castell","2019-06-17",419
"Lorena Castell","2019-06-18",189
"Lorena Castell","2019-06-19",180
"Lorena Castell","2019-06-20",201
"Lorena Castell","2019-06-21",335
"Lorena Castell","2019-06-22",158
"Lorena Castell","2019-06-23",126
"Lorena Castell","2019-06-24",163
"Lorena Castell","2019-06-25",290
"Lorena Castell","2019-06-26",172
"Lorena Castell","2019-06-27",126
