"artista","fecha","visitas"
"Los Burros","2019-03-25",23
"Los Burros","2019-03-26",21
"Los Burros","2019-03-27",25
"Los Burros","2019-03-28",24
"Los Burros","2019-03-29",22
"Los Burros","2019-03-30",29
"Los Burros","2019-03-31",16
"Los Burros","2019-04-01",24
"Los Burros","2019-04-02",23
"Los Burros","2019-04-03",12
"Los Burros","2019-04-04",39
"Los Burros","2019-04-05",22
"Los Burros","2019-04-06",19
"Los Burros","2019-04-07",34
"Los Burros","2019-04-08",34
"Los Burros","2019-04-09",17
"Los Burros","2019-04-10",20
"Los Burros","2019-04-11",24
"Los Burros","2019-04-12",23
"Los Burros","2019-04-13",19
"Los Burros","2019-04-14",18
"Los Burros","2019-04-15",15
"Los Burros","2019-04-16",17
"Los Burros","2019-04-17",23
"Los Burros","2019-04-18",26
"Los Burros","2019-04-19",20
"Los Burros","2019-04-20",28
"Los Burros","2019-04-21",20
"Los Burros","2019-04-22",33
"Los Burros","2019-04-23",16
"Los Burros","2019-04-24",18
"Los Burros","2019-04-25",13
"Los Burros","2019-04-26",21
"Los Burros","2019-04-27",18
"Los Burros","2019-04-28",15
"Los Burros","2019-04-29",20
"Los Burros","2019-04-30",15
"Los Burros","2019-05-01",15
"Los Burros","2019-05-02",21
"Los Burros","2019-05-03",28
"Los Burros","2019-05-04",27
"Los Burros","2019-05-05",21
"Los Burros","2019-05-06",21
"Los Burros","2019-05-07",18
"Los Burros","2019-05-08",23
"Los Burros","2019-05-09",16
"Los Burros","2019-05-10",31
"Los Burros","2019-05-11",18
"Los Burros","2019-05-12",20
"Los Burros","2019-05-13",11
"Los Burros","2019-05-14",13
"Los Burros","2019-05-15",34
"Los Burros","2019-05-16",19
"Los Burros","2019-05-17",16
"Los Burros","2019-05-18",32
"Los Burros","2019-05-19",22
"Los Burros","2019-05-20",22
"Los Burros","2019-05-21",32
"Los Burros","2019-05-22",21
"Los Burros","2019-05-23",23
"Los Burros","2019-05-24",22
"Los Burros","2019-05-25",26
"Los Burros","2019-05-26",21
"Los Burros","2019-05-27",20
"Los Burros","2019-05-28",22
"Los Burros","2019-05-29",26
"Los Burros","2019-05-30",18
"Los Burros","2019-05-31",29
"Los Burros","2019-06-01",20
"Los Burros","2019-06-02",13
"Los Burros","2019-06-03",18
"Los Burros","2019-06-04",19
"Los Burros","2019-06-05",12
"Los Burros","2019-06-06",15
"Los Burros","2019-06-07",14
"Los Burros","2019-06-08",26
"Los Burros","2019-06-09",24
"Los Burros","2019-06-10",15
"Los Burros","2019-06-11",32
"Los Burros","2019-06-12",27
"Los Burros","2019-06-13",21
"Los Burros","2019-06-14",33
"Los Burros","2019-06-15",25
"Los Burros","2019-06-16",25
"Los Burros","2019-06-17",16
"Los Burros","2019-06-18",40
"Los Burros","2019-06-19",23
"Los Burros","2019-06-20",21
"Los Burros","2019-06-21",20
"Los Burros","2019-06-22",33
"Los Burros","2019-06-23",25
"Los Burros","2019-06-24",17
"Los Burros","2019-06-25",30
"Los Burros","2019-06-26",96
"Los Burros","2019-06-27",30
