"artista","fecha","visitas"
"Marta Sánchez","2019-03-25",443
"Marta Sánchez","2019-03-26",819
"Marta Sánchez","2019-03-27",295
"Marta Sánchez","2019-03-28",238
"Marta Sánchez","2019-03-29",297
"Marta Sánchez","2019-03-30",289
"Marta Sánchez","2019-03-31",337
"Marta Sánchez","2019-04-01",331
"Marta Sánchez","2019-04-02",279
"Marta Sánchez","2019-04-03",293
"Marta Sánchez","2019-04-04",445
"Marta Sánchez","2019-04-05",329
"Marta Sánchez","2019-04-06",368
"Marta Sánchez","2019-04-07",774
"Marta Sánchez","2019-04-08",367
"Marta Sánchez","2019-04-09",318
"Marta Sánchez","2019-04-10",308
"Marta Sánchez","2019-04-11",267
"Marta Sánchez","2019-04-12",300
"Marta Sánchez","2019-04-13",300
"Marta Sánchez","2019-04-14",380
"Marta Sánchez","2019-04-15",298
"Marta Sánchez","2019-04-16",265
"Marta Sánchez","2019-04-17",279
"Marta Sánchez","2019-04-18",292
"Marta Sánchez","2019-04-19",358
"Marta Sánchez","2019-04-20",360
"Marta Sánchez","2019-04-21",463
"Marta Sánchez","2019-04-22",345
"Marta Sánchez","2019-04-23",384
"Marta Sánchez","2019-04-24",277
"Marta Sánchez","2019-04-25",1015
"Marta Sánchez","2019-04-26",466
"Marta Sánchez","2019-04-27",443
"Marta Sánchez","2019-04-28",1071
"Marta Sánchez","2019-04-29",380
"Marta Sánchez","2019-04-30",362
"Marta Sánchez","2019-05-01",323
"Marta Sánchez","2019-05-02",341
"Marta Sánchez","2019-05-03",449
"Marta Sánchez","2019-05-04",437
"Marta Sánchez","2019-05-05",687
"Marta Sánchez","2019-05-06",414
"Marta Sánchez","2019-05-07",443
"Marta Sánchez","2019-05-08",1606
"Marta Sánchez","2019-05-09",733
"Marta Sánchez","2019-05-10",559
"Marta Sánchez","2019-05-11",404
"Marta Sánchez","2019-05-12",870
"Marta Sánchez","2019-05-13",482
"Marta Sánchez","2019-05-14",388
"Marta Sánchez","2019-05-15",271
"Marta Sánchez","2019-05-16",307
"Marta Sánchez","2019-05-17",446
"Marta Sánchez","2019-05-18",2821
"Marta Sánchez","2019-05-19",1370
"Marta Sánchez","2019-05-20",1139
"Marta Sánchez","2019-05-21",1734
"Marta Sánchez","2019-05-22",1148
"Marta Sánchez","2019-05-23",1178
"Marta Sánchez","2019-05-24",24071
"Marta Sánchez","2019-05-25",3595
"Marta Sánchez","2019-05-26",4041
"Marta Sánchez","2019-05-27",768
"Marta Sánchez","2019-05-28",509
"Marta Sánchez","2019-05-29",546
"Marta Sánchez","2019-05-30",400
"Marta Sánchez","2019-05-31",382
"Marta Sánchez","2019-06-01",400
"Marta Sánchez","2019-06-02",566
"Marta Sánchez","2019-06-03",376
"Marta Sánchez","2019-06-04",359
"Marta Sánchez","2019-06-05",328
"Marta Sánchez","2019-06-06",414
"Marta Sánchez","2019-06-07",449
"Marta Sánchez","2019-06-08",504
"Marta Sánchez","2019-06-09",443
"Marta Sánchez","2019-06-10",308
"Marta Sánchez","2019-06-11",356
"Marta Sánchez","2019-06-12",284
"Marta Sánchez","2019-06-13",303
"Marta Sánchez","2019-06-14",331
"Marta Sánchez","2019-06-15",386
"Marta Sánchez","2019-06-16",390
"Marta Sánchez","2019-06-17",374
"Marta Sánchez","2019-06-18",469
"Marta Sánchez","2019-06-19",344
"Marta Sánchez","2019-06-20",337
"Marta Sánchez","2019-06-21",1931
"Marta Sánchez","2019-06-22",888
"Marta Sánchez","2019-06-23",958
"Marta Sánchez","2019-06-24",522
"Marta Sánchez","2019-06-25",711
"Marta Sánchez","2019-06-26",441
"Marta Sánchez","2019-06-27",681
