"artista","fecha","visitas"
"Mecano ","2019-03-25",498
"Mecano ","2019-03-26",534
"Mecano ","2019-03-27",578
"Mecano ","2019-03-28",1612
"Mecano ","2019-03-29",1071
"Mecano ","2019-03-30",892
"Mecano ","2019-03-31",724
"Mecano ","2019-04-01",662
"Mecano ","2019-04-02",567
"Mecano ","2019-04-03",549
"Mecano ","2019-04-04",534
"Mecano ","2019-04-05",630
"Mecano ","2019-04-06",609
"Mecano ","2019-04-07",557
"Mecano ","2019-04-08",666
"Mecano ","2019-04-09",649
"Mecano ","2019-04-10",496
"Mecano ","2019-04-11",470
"Mecano ","2019-04-12",1784
"Mecano ","2019-04-13",887
"Mecano ","2019-04-14",677
"Mecano ","2019-04-15",540
"Mecano ","2019-04-16",450
"Mecano ","2019-04-17",484
"Mecano ","2019-04-18",447
"Mecano ","2019-04-19",503
"Mecano ","2019-04-20",521
"Mecano ","2019-04-21",539
"Mecano ","2019-04-22",768
"Mecano ","2019-04-23",476
"Mecano ","2019-04-24",464
"Mecano ","2019-04-25",998
"Mecano ","2019-04-26",612
"Mecano ","2019-04-27",576
"Mecano ","2019-04-28",535
"Mecano ","2019-04-29",493
"Mecano ","2019-04-30",478
"Mecano ","2019-05-01",704
"Mecano ","2019-05-02",642
"Mecano ","2019-05-03",559
"Mecano ","2019-05-04",587
"Mecano ","2019-05-05",611
"Mecano ","2019-05-06",606
"Mecano ","2019-05-07",1293
"Mecano ","2019-05-08",620
"Mecano ","2019-05-09",563
"Mecano ","2019-05-10",540
"Mecano ","2019-05-11",542
"Mecano ","2019-05-12",604
"Mecano ","2019-05-13",645
"Mecano ","2019-05-14",567
"Mecano ","2019-05-15",559
"Mecano ","2019-05-16",678
"Mecano ","2019-05-17",533
"Mecano ","2019-05-18",536
"Mecano ","2019-05-19",585
"Mecano ","2019-05-20",510
"Mecano ","2019-05-21",528
"Mecano ","2019-05-22",495
"Mecano ","2019-05-23",494
"Mecano ","2019-05-24",523
"Mecano ","2019-05-25",491
"Mecano ","2019-05-26",497
"Mecano ","2019-05-27",539
"Mecano ","2019-05-28",568
"Mecano ","2019-05-29",454
"Mecano ","2019-05-30",490
"Mecano ","2019-05-31",445
"Mecano ","2019-06-01",552
"Mecano ","2019-06-02",528
"Mecano ","2019-06-03",482
"Mecano ","2019-06-04",553
"Mecano ","2019-06-05",531
"Mecano ","2019-06-06",535
"Mecano ","2019-06-07",1509
"Mecano ","2019-06-08",1225
"Mecano ","2019-06-09",625
"Mecano ","2019-06-10",523
"Mecano ","2019-06-11",527
"Mecano ","2019-06-12",462
"Mecano ","2019-06-13",441
"Mecano ","2019-06-14",405
"Mecano ","2019-06-15",421
"Mecano ","2019-06-16",484
"Mecano ","2019-06-17",461
"Mecano ","2019-06-18",453
"Mecano ","2019-06-19",386
"Mecano ","2019-06-20",454
"Mecano ","2019-06-21",416
"Mecano ","2019-06-22",473
"Mecano ","2019-06-23",471
"Mecano ","2019-06-24",413
"Mecano ","2019-06-25",452
"Mecano ","2019-06-26",399
"Mecano ","2019-06-27",442
