"artista","fecha","visitas"
"Miguel Bosé","2019-03-25",5855
"Miguel Bosé","2019-03-26",1218
"Miguel Bosé","2019-03-27",1105
"Miguel Bosé","2019-03-28",1188
"Miguel Bosé","2019-03-29",1493
"Miguel Bosé","2019-03-30",1833
"Miguel Bosé","2019-03-31",1982
"Miguel Bosé","2019-04-01",3031
"Miguel Bosé","2019-04-02",1352
"Miguel Bosé","2019-04-03",4378
"Miguel Bosé","2019-04-04",2450
"Miguel Bosé","2019-04-05",1601
"Miguel Bosé","2019-04-06",1663
"Miguel Bosé","2019-04-07",2023
"Miguel Bosé","2019-04-08",6355
"Miguel Bosé","2019-04-09",2011
"Miguel Bosé","2019-04-10",1528
"Miguel Bosé","2019-04-11",1200
"Miguel Bosé","2019-04-12",1194
"Miguel Bosé","2019-04-13",1738
"Miguel Bosé","2019-04-14",1350
"Miguel Bosé","2019-04-15",4370
"Miguel Bosé","2019-04-16",994
"Miguel Bosé","2019-04-17",1051
"Miguel Bosé","2019-04-18",991
"Miguel Bosé","2019-04-19",1241
"Miguel Bosé","2019-04-20",1755
"Miguel Bosé","2019-04-21",1315
"Miguel Bosé","2019-04-22",3919
"Miguel Bosé","2019-04-23",978
"Miguel Bosé","2019-04-24",881
"Miguel Bosé","2019-04-25",835
"Miguel Bosé","2019-04-26",905
"Miguel Bosé","2019-04-27",5330
"Miguel Bosé","2019-04-28",1859
"Miguel Bosé","2019-04-29",4328
"Miguel Bosé","2019-04-30",1192
"Miguel Bosé","2019-05-01",1086
"Miguel Bosé","2019-05-02",961
"Miguel Bosé","2019-05-03",2361
"Miguel Bosé","2019-05-04",2173
"Miguel Bosé","2019-05-05",1584
"Miguel Bosé","2019-05-06",4007
"Miguel Bosé","2019-05-07",1192
"Miguel Bosé","2019-05-08",1083
"Miguel Bosé","2019-05-09",1205
"Miguel Bosé","2019-05-10",1317
"Miguel Bosé","2019-05-11",2351
"Miguel Bosé","2019-05-12",1774
"Miguel Bosé","2019-05-13",4412
"Miguel Bosé","2019-05-14",1191
"Miguel Bosé","2019-05-15",1095
"Miguel Bosé","2019-05-16",1061
"Miguel Bosé","2019-05-17",1018
"Miguel Bosé","2019-05-18",1412
"Miguel Bosé","2019-05-19",3540
"Miguel Bosé","2019-05-20",3969
"Miguel Bosé","2019-05-21",1682
"Miguel Bosé","2019-05-22",1527
"Miguel Bosé","2019-05-23",1246
"Miguel Bosé","2019-05-24",1058
"Miguel Bosé","2019-05-25",1945
"Miguel Bosé","2019-05-26",2324
"Miguel Bosé","2019-05-27",5036
"Miguel Bosé","2019-05-28",1541
"Miguel Bosé","2019-05-29",1258
"Miguel Bosé","2019-05-30",1450
"Miguel Bosé","2019-05-31",1021
"Miguel Bosé","2019-06-01",2815
"Miguel Bosé","2019-06-02",1684
"Miguel Bosé","2019-06-03",1379
"Miguel Bosé","2019-06-04",1058
"Miguel Bosé","2019-06-05",977
"Miguel Bosé","2019-06-06",942
"Miguel Bosé","2019-06-07",988
"Miguel Bosé","2019-06-08",1589
"Miguel Bosé","2019-06-09",1389
"Miguel Bosé","2019-06-10",1135
"Miguel Bosé","2019-06-11",845
"Miguel Bosé","2019-06-12",856
"Miguel Bosé","2019-06-13",1506
"Miguel Bosé","2019-06-14",930
"Miguel Bosé","2019-06-15",975
"Miguel Bosé","2019-06-16",1070
"Miguel Bosé","2019-06-17",955
"Miguel Bosé","2019-06-18",800
"Miguel Bosé","2019-06-19",850
"Miguel Bosé","2019-06-20",805
"Miguel Bosé","2019-06-21",971
"Miguel Bosé","2019-06-22",1082
"Miguel Bosé","2019-06-23",1247
"Miguel Bosé","2019-06-24",1137
"Miguel Bosé","2019-06-25",963
"Miguel Bosé","2019-06-26",1063
"Miguel Bosé","2019-06-27",876
