"artista","fecha","visitas"
"Miss Caffeina","2019-03-25",111
"Miss Caffeina","2019-03-26",124
"Miss Caffeina","2019-03-27",112
"Miss Caffeina","2019-03-28",130
"Miss Caffeina","2019-03-29",155
"Miss Caffeina","2019-03-30",182
"Miss Caffeina","2019-03-31",171
"Miss Caffeina","2019-04-01",134
"Miss Caffeina","2019-04-02",142
"Miss Caffeina","2019-04-03",139
"Miss Caffeina","2019-04-04",191
"Miss Caffeina","2019-04-05",201
"Miss Caffeina","2019-04-06",216
"Miss Caffeina","2019-04-07",221
"Miss Caffeina","2019-04-08",165
"Miss Caffeina","2019-04-09",128
"Miss Caffeina","2019-04-10",198
"Miss Caffeina","2019-04-11",139
"Miss Caffeina","2019-04-12",169
"Miss Caffeina","2019-04-13",186
"Miss Caffeina","2019-04-14",145
"Miss Caffeina","2019-04-15",145
"Miss Caffeina","2019-04-16",126
"Miss Caffeina","2019-04-17",137
"Miss Caffeina","2019-04-18",139
"Miss Caffeina","2019-04-19",111
"Miss Caffeina","2019-04-20",128
"Miss Caffeina","2019-04-21",105
"Miss Caffeina","2019-04-22",157
"Miss Caffeina","2019-04-23",114
"Miss Caffeina","2019-04-24",102
"Miss Caffeina","2019-04-25",155
"Miss Caffeina","2019-04-26",186
"Miss Caffeina","2019-04-27",188
"Miss Caffeina","2019-04-28",118
"Miss Caffeina","2019-04-29",118
"Miss Caffeina","2019-04-30",116
"Miss Caffeina","2019-05-01",100
"Miss Caffeina","2019-05-02",131
"Miss Caffeina","2019-05-03",173
"Miss Caffeina","2019-05-04",170
"Miss Caffeina","2019-05-05",269
"Miss Caffeina","2019-05-06",147
"Miss Caffeina","2019-05-07",159
"Miss Caffeina","2019-05-08",128
"Miss Caffeina","2019-05-09",262
"Miss Caffeina","2019-05-10",164
"Miss Caffeina","2019-05-11",211
"Miss Caffeina","2019-05-12",201
"Miss Caffeina","2019-05-13",145
"Miss Caffeina","2019-05-14",129
"Miss Caffeina","2019-05-15",100
"Miss Caffeina","2019-05-16",283
"Miss Caffeina","2019-05-17",237
"Miss Caffeina","2019-05-18",216
"Miss Caffeina","2019-05-19",208
"Miss Caffeina","2019-05-20",137
"Miss Caffeina","2019-05-21",147
"Miss Caffeina","2019-05-22",147
"Miss Caffeina","2019-05-23",227
"Miss Caffeina","2019-05-24",214
"Miss Caffeina","2019-05-25",257
"Miss Caffeina","2019-05-26",182
"Miss Caffeina","2019-05-27",117
"Miss Caffeina","2019-05-28",118
"Miss Caffeina","2019-05-29",134
"Miss Caffeina","2019-05-30",195
"Miss Caffeina","2019-05-31",159
"Miss Caffeina","2019-06-01",281
"Miss Caffeina","2019-06-02",299
"Miss Caffeina","2019-06-03",175
"Miss Caffeina","2019-06-04",157
"Miss Caffeina","2019-06-05",152
"Miss Caffeina","2019-06-06",152
"Miss Caffeina","2019-06-07",155
"Miss Caffeina","2019-06-08",155
"Miss Caffeina","2019-06-09",134
"Miss Caffeina","2019-06-10",115
"Miss Caffeina","2019-06-11",110
"Miss Caffeina","2019-06-12",165
"Miss Caffeina","2019-06-13",144
"Miss Caffeina","2019-06-14",128
"Miss Caffeina","2019-06-15",144
"Miss Caffeina","2019-06-16",101
"Miss Caffeina","2019-06-17",125
"Miss Caffeina","2019-06-18",119
"Miss Caffeina","2019-06-19",86
"Miss Caffeina","2019-06-20",91
"Miss Caffeina","2019-06-21",221
"Miss Caffeina","2019-06-22",169
"Miss Caffeina","2019-06-23",157
"Miss Caffeina","2019-06-24",130
"Miss Caffeina","2019-06-25",223
"Miss Caffeina","2019-06-26",145
"Miss Caffeina","2019-06-27",113
