"artista","fecha","visitas"
"Olivia Newton-John","2019-03-25",405
"Olivia Newton-John","2019-03-26",343
"Olivia Newton-John","2019-03-27",326
"Olivia Newton-John","2019-03-28",323
"Olivia Newton-John","2019-03-29",370
"Olivia Newton-John","2019-03-30",488
"Olivia Newton-John","2019-03-31",544
"Olivia Newton-John","2019-04-01",326
"Olivia Newton-John","2019-04-02",329
"Olivia Newton-John","2019-04-03",348
"Olivia Newton-John","2019-04-04",384
"Olivia Newton-John","2019-04-05",380
"Olivia Newton-John","2019-04-06",444
"Olivia Newton-John","2019-04-07",479
"Olivia Newton-John","2019-04-08",337
"Olivia Newton-John","2019-04-09",349
"Olivia Newton-John","2019-04-10",467
"Olivia Newton-John","2019-04-11",434
"Olivia Newton-John","2019-04-12",483
"Olivia Newton-John","2019-04-13",568
"Olivia Newton-John","2019-04-14",639
"Olivia Newton-John","2019-04-15",393
"Olivia Newton-John","2019-04-16",316
"Olivia Newton-John","2019-04-17",360
"Olivia Newton-John","2019-04-18",631
"Olivia Newton-John","2019-04-19",559
"Olivia Newton-John","2019-04-20",1525
"Olivia Newton-John","2019-04-21",624
"Olivia Newton-John","2019-04-22",395
"Olivia Newton-John","2019-04-23",340
"Olivia Newton-John","2019-04-24",313
"Olivia Newton-John","2019-04-25",271
"Olivia Newton-John","2019-04-26",314
"Olivia Newton-John","2019-04-27",436
"Olivia Newton-John","2019-04-28",408
"Olivia Newton-John","2019-04-29",371
"Olivia Newton-John","2019-04-30",295
"Olivia Newton-John","2019-05-01",342
"Olivia Newton-John","2019-05-02",310
"Olivia Newton-John","2019-05-03",388
"Olivia Newton-John","2019-05-04",391
"Olivia Newton-John","2019-05-05",477
"Olivia Newton-John","2019-05-06",354
"Olivia Newton-John","2019-05-07",669
"Olivia Newton-John","2019-05-08",368
"Olivia Newton-John","2019-05-09",363
"Olivia Newton-John","2019-05-10",368
"Olivia Newton-John","2019-05-11",445
"Olivia Newton-John","2019-05-12",639
"Olivia Newton-John","2019-05-13",386
"Olivia Newton-John","2019-05-14",1064
"Olivia Newton-John","2019-05-15",412
"Olivia Newton-John","2019-05-16",328
"Olivia Newton-John","2019-05-17",579
"Olivia Newton-John","2019-05-18",1094
"Olivia Newton-John","2019-05-19",539
"Olivia Newton-John","2019-05-20",381
"Olivia Newton-John","2019-05-21",326
"Olivia Newton-John","2019-05-22",345
"Olivia Newton-John","2019-05-23",392
"Olivia Newton-John","2019-05-24",385
"Olivia Newton-John","2019-05-25",450
"Olivia Newton-John","2019-05-26",471
"Olivia Newton-John","2019-05-27",854
"Olivia Newton-John","2019-05-28",875
"Olivia Newton-John","2019-05-29",848
"Olivia Newton-John","2019-05-30",453
"Olivia Newton-John","2019-05-31",467
"Olivia Newton-John","2019-06-01",884
"Olivia Newton-John","2019-06-02",613
"Olivia Newton-John","2019-06-03",431
"Olivia Newton-John","2019-06-04",339
"Olivia Newton-John","2019-06-05",330
"Olivia Newton-John","2019-06-06",322
"Olivia Newton-John","2019-06-07",396
"Olivia Newton-John","2019-06-08",442
"Olivia Newton-John","2019-06-09",480
"Olivia Newton-John","2019-06-10",399
"Olivia Newton-John","2019-06-11",383
"Olivia Newton-John","2019-06-12",420
"Olivia Newton-John","2019-06-13",444
"Olivia Newton-John","2019-06-14",427
"Olivia Newton-John","2019-06-15",481
"Olivia Newton-John","2019-06-16",569
"Olivia Newton-John","2019-06-17",743
"Olivia Newton-John","2019-06-18",419
"Olivia Newton-John","2019-06-19",444
"Olivia Newton-John","2019-06-20",569
"Olivia Newton-John","2019-06-21",511
"Olivia Newton-John","2019-06-22",695
"Olivia Newton-John","2019-06-23",897
"Olivia Newton-John","2019-06-24",715
"Olivia Newton-John","2019-06-25",713
"Olivia Newton-John","2019-06-26",722
"Olivia Newton-John","2019-06-27",920
