"artista","fecha","visitas"
"Pedro Marín","2019-03-25",28
"Pedro Marín","2019-03-26",32
"Pedro Marín","2019-03-27",21
"Pedro Marín","2019-03-28",20
"Pedro Marín","2019-03-29",26
"Pedro Marín","2019-03-30",28
"Pedro Marín","2019-03-31",30
"Pedro Marín","2019-04-01",20
"Pedro Marín","2019-04-02",18
"Pedro Marín","2019-04-03",37
"Pedro Marín","2019-04-04",31
"Pedro Marín","2019-04-05",28
"Pedro Marín","2019-04-06",28
"Pedro Marín","2019-04-07",25
"Pedro Marín","2019-04-08",26
"Pedro Marín","2019-04-09",21
"Pedro Marín","2019-04-10",31
"Pedro Marín","2019-04-11",29
"Pedro Marín","2019-04-12",35
"Pedro Marín","2019-04-13",30
"Pedro Marín","2019-04-14",40
"Pedro Marín","2019-04-15",25
"Pedro Marín","2019-04-16",28
"Pedro Marín","2019-04-17",34
"Pedro Marín","2019-04-18",46
"Pedro Marín","2019-04-19",49
"Pedro Marín","2019-04-20",33
"Pedro Marín","2019-04-21",31
"Pedro Marín","2019-04-22",26
"Pedro Marín","2019-04-23",93
"Pedro Marín","2019-04-24",45
"Pedro Marín","2019-04-25",40
"Pedro Marín","2019-04-26",24
"Pedro Marín","2019-04-27",39
"Pedro Marín","2019-04-28",31
"Pedro Marín","2019-04-29",15
"Pedro Marín","2019-04-30",34
"Pedro Marín","2019-05-01",24
"Pedro Marín","2019-05-02",36
"Pedro Marín","2019-05-03",28
"Pedro Marín","2019-05-04",36
"Pedro Marín","2019-05-05",35
"Pedro Marín","2019-05-06",25
"Pedro Marín","2019-05-07",25
"Pedro Marín","2019-05-08",24
"Pedro Marín","2019-05-09",31
"Pedro Marín","2019-05-10",30
"Pedro Marín","2019-05-11",41
"Pedro Marín","2019-05-12",19
"Pedro Marín","2019-05-13",33
"Pedro Marín","2019-05-14",25
"Pedro Marín","2019-05-15",54
"Pedro Marín","2019-05-16",52
"Pedro Marín","2019-05-17",76
"Pedro Marín","2019-05-18",50
"Pedro Marín","2019-05-19",44
"Pedro Marín","2019-05-20",41
"Pedro Marín","2019-05-21",32
"Pedro Marín","2019-05-22",36
"Pedro Marín","2019-05-23",31
"Pedro Marín","2019-05-24",23
"Pedro Marín","2019-05-25",35
"Pedro Marín","2019-05-26",37
"Pedro Marín","2019-05-27",35
"Pedro Marín","2019-05-28",28
"Pedro Marín","2019-05-29",25
"Pedro Marín","2019-05-30",27
"Pedro Marín","2019-05-31",22
"Pedro Marín","2019-06-01",96
"Pedro Marín","2019-06-02",50
"Pedro Marín","2019-06-03",24
"Pedro Marín","2019-06-04",30
"Pedro Marín","2019-06-05",17
"Pedro Marín","2019-06-06",32
"Pedro Marín","2019-06-07",33
"Pedro Marín","2019-06-08",35
"Pedro Marín","2019-06-09",25
"Pedro Marín","2019-06-10",23
"Pedro Marín","2019-06-11",29
"Pedro Marín","2019-06-12",29
"Pedro Marín","2019-06-13",31
"Pedro Marín","2019-06-14",29
"Pedro Marín","2019-06-15",21
"Pedro Marín","2019-06-16",33
"Pedro Marín","2019-06-17",20
"Pedro Marín","2019-06-18",88
"Pedro Marín","2019-06-19",37
"Pedro Marín","2019-06-20",34
"Pedro Marín","2019-06-21",47
"Pedro Marín","2019-06-22",31
"Pedro Marín","2019-06-23",41
"Pedro Marín","2019-06-24",31
"Pedro Marín","2019-06-25",1079
"Pedro Marín","2019-06-26",135
"Pedro Marín","2019-06-27",71
