"artista","fecha","visitas"
"Pet Shop Boys","2019-03-25",211
"Pet Shop Boys","2019-03-26",191
"Pet Shop Boys","2019-03-27",240
"Pet Shop Boys","2019-03-28",257
"Pet Shop Boys","2019-03-29",266
"Pet Shop Boys","2019-03-30",247
"Pet Shop Boys","2019-03-31",250
"Pet Shop Boys","2019-04-01",237
"Pet Shop Boys","2019-04-02",233
"Pet Shop Boys","2019-04-03",214
"Pet Shop Boys","2019-04-04",239
"Pet Shop Boys","2019-04-05",275
"Pet Shop Boys","2019-04-06",279
"Pet Shop Boys","2019-04-07",282
"Pet Shop Boys","2019-04-08",225
"Pet Shop Boys","2019-04-09",213
"Pet Shop Boys","2019-04-10",258
"Pet Shop Boys","2019-04-11",239
"Pet Shop Boys","2019-04-12",239
"Pet Shop Boys","2019-04-13",303
"Pet Shop Boys","2019-04-14",308
"Pet Shop Boys","2019-04-15",223
"Pet Shop Boys","2019-04-16",238
"Pet Shop Boys","2019-04-17",271
"Pet Shop Boys","2019-04-18",272
"Pet Shop Boys","2019-04-19",269
"Pet Shop Boys","2019-04-20",263
"Pet Shop Boys","2019-04-21",291
"Pet Shop Boys","2019-04-22",238
"Pet Shop Boys","2019-04-23",259
"Pet Shop Boys","2019-04-24",262
"Pet Shop Boys","2019-04-25",231
"Pet Shop Boys","2019-04-26",259
"Pet Shop Boys","2019-04-27",312
"Pet Shop Boys","2019-04-28",265
"Pet Shop Boys","2019-04-29",244
"Pet Shop Boys","2019-04-30",202
"Pet Shop Boys","2019-05-01",268
"Pet Shop Boys","2019-05-02",226
"Pet Shop Boys","2019-05-03",1481
"Pet Shop Boys","2019-05-04",451
"Pet Shop Boys","2019-05-05",325
"Pet Shop Boys","2019-05-06",239
"Pet Shop Boys","2019-05-07",552
"Pet Shop Boys","2019-05-08",272
"Pet Shop Boys","2019-05-09",312
"Pet Shop Boys","2019-05-10",288
"Pet Shop Boys","2019-05-11",317
"Pet Shop Boys","2019-05-12",364
"Pet Shop Boys","2019-05-13",291
"Pet Shop Boys","2019-05-14",315
"Pet Shop Boys","2019-05-15",297
"Pet Shop Boys","2019-05-16",313
"Pet Shop Boys","2019-05-17",309
"Pet Shop Boys","2019-05-18",348
"Pet Shop Boys","2019-05-19",533
"Pet Shop Boys","2019-05-20",273
"Pet Shop Boys","2019-05-21",270
"Pet Shop Boys","2019-05-22",280
"Pet Shop Boys","2019-05-23",269
"Pet Shop Boys","2019-05-24",319
"Pet Shop Boys","2019-05-25",294
"Pet Shop Boys","2019-05-26",294
"Pet Shop Boys","2019-05-27",233
"Pet Shop Boys","2019-05-28",231
"Pet Shop Boys","2019-05-29",226
"Pet Shop Boys","2019-05-30",271
"Pet Shop Boys","2019-05-31",306
"Pet Shop Boys","2019-06-01",240
"Pet Shop Boys","2019-06-02",288
"Pet Shop Boys","2019-06-03",240
"Pet Shop Boys","2019-06-04",255
"Pet Shop Boys","2019-06-05",550
"Pet Shop Boys","2019-06-06",414
"Pet Shop Boys","2019-06-07",271
"Pet Shop Boys","2019-06-08",302
"Pet Shop Boys","2019-06-09",295
"Pet Shop Boys","2019-06-10",248
"Pet Shop Boys","2019-06-11",298
"Pet Shop Boys","2019-06-12",265
"Pet Shop Boys","2019-06-13",261
"Pet Shop Boys","2019-06-14",400
"Pet Shop Boys","2019-06-15",245
"Pet Shop Boys","2019-06-16",250
"Pet Shop Boys","2019-06-17",271
"Pet Shop Boys","2019-06-18",294
"Pet Shop Boys","2019-06-19",273
"Pet Shop Boys","2019-06-20",274
"Pet Shop Boys","2019-06-21",320
"Pet Shop Boys","2019-06-22",301
"Pet Shop Boys","2019-06-23",331
"Pet Shop Boys","2019-06-24",272
"Pet Shop Boys","2019-06-25",390
"Pet Shop Boys","2019-06-26",261
"Pet Shop Boys","2019-06-27",263
