"artista","fecha","visitas"
"Sara Montiel","2019-03-25",518
"Sara Montiel","2019-03-26",339
"Sara Montiel","2019-03-27",324
"Sara Montiel","2019-03-28",331
"Sara Montiel","2019-03-29",343
"Sara Montiel","2019-03-30",361
"Sara Montiel","2019-03-31",408
"Sara Montiel","2019-04-01",345
"Sara Montiel","2019-04-02",316
"Sara Montiel","2019-04-03",357
"Sara Montiel","2019-04-04",429
"Sara Montiel","2019-04-05",384
"Sara Montiel","2019-04-06",980
"Sara Montiel","2019-04-07",3561
"Sara Montiel","2019-04-08",1362
"Sara Montiel","2019-04-09",652
"Sara Montiel","2019-04-10",457
"Sara Montiel","2019-04-11",1220
"Sara Montiel","2019-04-12",1995
"Sara Montiel","2019-04-13",1177
"Sara Montiel","2019-04-14",833
"Sara Montiel","2019-04-15",842
"Sara Montiel","2019-04-16",510
"Sara Montiel","2019-04-17",492
"Sara Montiel","2019-04-18",453
"Sara Montiel","2019-04-19",637
"Sara Montiel","2019-04-20",586
"Sara Montiel","2019-04-21",564
"Sara Montiel","2019-04-22",442
"Sara Montiel","2019-04-23",350
"Sara Montiel","2019-04-24",14207
"Sara Montiel","2019-04-25",1880
"Sara Montiel","2019-04-26",1162
"Sara Montiel","2019-04-27",920
"Sara Montiel","2019-04-28",876
"Sara Montiel","2019-04-29",745
"Sara Montiel","2019-04-30",688
"Sara Montiel","2019-05-01",587
"Sara Montiel","2019-05-02",575
"Sara Montiel","2019-05-03",973
"Sara Montiel","2019-05-04",537
"Sara Montiel","2019-05-05",748
"Sara Montiel","2019-05-06",530
"Sara Montiel","2019-05-07",437
"Sara Montiel","2019-05-08",434
"Sara Montiel","2019-05-09",374
"Sara Montiel","2019-05-10",437
"Sara Montiel","2019-05-11",677
"Sara Montiel","2019-05-12",656
"Sara Montiel","2019-05-13",461
"Sara Montiel","2019-05-14",2717
"Sara Montiel","2019-05-15",530
"Sara Montiel","2019-05-16",437
"Sara Montiel","2019-05-17",421
"Sara Montiel","2019-05-18",433
"Sara Montiel","2019-05-19",497
"Sara Montiel","2019-05-20",421
"Sara Montiel","2019-05-21",478
"Sara Montiel","2019-05-22",430
"Sara Montiel","2019-05-23",328
"Sara Montiel","2019-05-24",364
"Sara Montiel","2019-05-25",660
"Sara Montiel","2019-05-26",501
"Sara Montiel","2019-05-27",346
"Sara Montiel","2019-05-28",353
"Sara Montiel","2019-05-29",290
"Sara Montiel","2019-05-30",243
"Sara Montiel","2019-05-31",318
"Sara Montiel","2019-06-01",359
"Sara Montiel","2019-06-02",401
"Sara Montiel","2019-06-03",334
"Sara Montiel","2019-06-04",453
"Sara Montiel","2019-06-05",295
"Sara Montiel","2019-06-06",285
"Sara Montiel","2019-06-07",379
"Sara Montiel","2019-06-08",377
"Sara Montiel","2019-06-09",381
"Sara Montiel","2019-06-10",318
"Sara Montiel","2019-06-11",270
"Sara Montiel","2019-06-12",262
"Sara Montiel","2019-06-13",279
"Sara Montiel","2019-06-14",372
"Sara Montiel","2019-06-15",332
"Sara Montiel","2019-06-16",328
"Sara Montiel","2019-06-17",290
"Sara Montiel","2019-06-18",264
"Sara Montiel","2019-06-19",313
"Sara Montiel","2019-06-20",370
"Sara Montiel","2019-06-21",357
"Sara Montiel","2019-06-22",324
"Sara Montiel","2019-06-23",457
"Sara Montiel","2019-06-24",449
"Sara Montiel","2019-06-25",428
"Sara Montiel","2019-06-26",550
"Sara Montiel","2019-06-27",285
