"artista","fecha","visitas"
"Shirley Bassey","2019-03-25",39
"Shirley Bassey","2019-03-26",37
"Shirley Bassey","2019-03-27",34
"Shirley Bassey","2019-03-28",33
"Shirley Bassey","2019-03-29",25
"Shirley Bassey","2019-03-30",42
"Shirley Bassey","2019-03-31",37
"Shirley Bassey","2019-04-01",50
"Shirley Bassey","2019-04-02",38
"Shirley Bassey","2019-04-03",47
"Shirley Bassey","2019-04-04",35
"Shirley Bassey","2019-04-05",36
"Shirley Bassey","2019-04-06",32
"Shirley Bassey","2019-04-07",31
"Shirley Bassey","2019-04-08",40
"Shirley Bassey","2019-04-09",30
"Shirley Bassey","2019-04-10",40
"Shirley Bassey","2019-04-11",37
"Shirley Bassey","2019-04-12",32
"Shirley Bassey","2019-04-13",26
"Shirley Bassey","2019-04-14",30
"Shirley Bassey","2019-04-15",40
"Shirley Bassey","2019-04-16",24
"Shirley Bassey","2019-04-17",32
"Shirley Bassey","2019-04-18",29
"Shirley Bassey","2019-04-19",33
"Shirley Bassey","2019-04-20",38
"Shirley Bassey","2019-04-21",41
"Shirley Bassey","2019-04-22",36
"Shirley Bassey","2019-04-23",27
"Shirley Bassey","2019-04-24",26
"Shirley Bassey","2019-04-25",26
"Shirley Bassey","2019-04-26",16
"Shirley Bassey","2019-04-27",44
"Shirley Bassey","2019-04-28",34
"Shirley Bassey","2019-04-29",32
"Shirley Bassey","2019-04-30",43
"Shirley Bassey","2019-05-01",52
"Shirley Bassey","2019-05-02",35
"Shirley Bassey","2019-05-03",39
"Shirley Bassey","2019-05-04",64
"Shirley Bassey","2019-05-05",53
"Shirley Bassey","2019-05-06",55
"Shirley Bassey","2019-05-07",31
"Shirley Bassey","2019-05-08",34
"Shirley Bassey","2019-05-09",29
"Shirley Bassey","2019-05-10",33
"Shirley Bassey","2019-05-11",31
"Shirley Bassey","2019-05-12",39
"Shirley Bassey","2019-05-13",36
"Shirley Bassey","2019-05-14",36
"Shirley Bassey","2019-05-15",31
"Shirley Bassey","2019-05-16",33
"Shirley Bassey","2019-05-17",34
"Shirley Bassey","2019-05-18",42
"Shirley Bassey","2019-05-19",49
"Shirley Bassey","2019-05-20",31
"Shirley Bassey","2019-05-21",30
"Shirley Bassey","2019-05-22",37
"Shirley Bassey","2019-05-23",37
"Shirley Bassey","2019-05-24",34
"Shirley Bassey","2019-05-25",32
"Shirley Bassey","2019-05-26",30
"Shirley Bassey","2019-05-27",34
"Shirley Bassey","2019-05-28",23
"Shirley Bassey","2019-05-29",31
"Shirley Bassey","2019-05-30",30
"Shirley Bassey","2019-05-31",30
"Shirley Bassey","2019-06-01",38
"Shirley Bassey","2019-06-02",46
"Shirley Bassey","2019-06-03",48
"Shirley Bassey","2019-06-04",36
"Shirley Bassey","2019-06-05",35
"Shirley Bassey","2019-06-06",34
"Shirley Bassey","2019-06-07",20
"Shirley Bassey","2019-06-08",41
"Shirley Bassey","2019-06-09",56
"Shirley Bassey","2019-06-10",40
"Shirley Bassey","2019-06-11",28
"Shirley Bassey","2019-06-12",42
"Shirley Bassey","2019-06-13",33
"Shirley Bassey","2019-06-14",57
"Shirley Bassey","2019-06-15",50
"Shirley Bassey","2019-06-16",35
"Shirley Bassey","2019-06-17",35
"Shirley Bassey","2019-06-18",30
"Shirley Bassey","2019-06-19",35
"Shirley Bassey","2019-06-20",67
"Shirley Bassey","2019-06-21",57
"Shirley Bassey","2019-06-22",41
"Shirley Bassey","2019-06-23",45
"Shirley Bassey","2019-06-24",55
"Shirley Bassey","2019-06-25",414
"Shirley Bassey","2019-06-26",110
"Shirley Bassey","2019-06-27",38
