"artista","fecha","visitas"
"Sin With Sebastian","2019-03-25",4
"Sin With Sebastian","2019-03-26",6
"Sin With Sebastian","2019-03-27",10
"Sin With Sebastian","2019-03-28",8
"Sin With Sebastian","2019-03-29",4
"Sin With Sebastian","2019-03-30",10
"Sin With Sebastian","2019-03-31",5
"Sin With Sebastian","2019-04-01",5
"Sin With Sebastian","2019-04-02",7
"Sin With Sebastian","2019-04-03",5
"Sin With Sebastian","2019-04-04",2
"Sin With Sebastian","2019-04-05",10
"Sin With Sebastian","2019-04-06",5
"Sin With Sebastian","2019-04-07",6
"Sin With Sebastian","2019-04-08",9
"Sin With Sebastian","2019-04-09",6
"Sin With Sebastian","2019-04-10",15
"Sin With Sebastian","2019-04-11",6
"Sin With Sebastian","2019-04-12",17
"Sin With Sebastian","2019-04-13",12
"Sin With Sebastian","2019-04-14",75
"Sin With Sebastian","2019-04-15",28
"Sin With Sebastian","2019-04-16",19
"Sin With Sebastian","2019-04-17",16
"Sin With Sebastian","2019-04-18",2
"Sin With Sebastian","2019-04-19",10
"Sin With Sebastian","2019-04-20",6
"Sin With Sebastian","2019-04-21",7
"Sin With Sebastian","2019-04-22",5
"Sin With Sebastian","2019-04-23",4
"Sin With Sebastian","2019-04-24",7
"Sin With Sebastian","2019-04-25",5
"Sin With Sebastian","2019-04-26",3
"Sin With Sebastian","2019-04-27",23
"Sin With Sebastian","2019-04-28",9
"Sin With Sebastian","2019-04-29",6
"Sin With Sebastian","2019-04-30",15
"Sin With Sebastian","2019-05-01",11
"Sin With Sebastian","2019-05-02",12
"Sin With Sebastian","2019-05-03",11
"Sin With Sebastian","2019-05-04",10
"Sin With Sebastian","2019-05-05",26
"Sin With Sebastian","2019-05-06",6
"Sin With Sebastian","2019-05-07",7
"Sin With Sebastian","2019-05-08",1
"Sin With Sebastian","2019-05-09",5
"Sin With Sebastian","2019-05-10",3
"Sin With Sebastian","2019-05-11",3
"Sin With Sebastian","2019-05-12",3
"Sin With Sebastian","2019-05-13",7
"Sin With Sebastian","2019-05-14",8
"Sin With Sebastian","2019-05-15",6
"Sin With Sebastian","2019-05-16",1
"Sin With Sebastian","2019-05-17",5
"Sin With Sebastian","2019-05-18",5
"Sin With Sebastian","2019-05-19",12
"Sin With Sebastian","2019-05-20",3
"Sin With Sebastian","2019-05-21",9
"Sin With Sebastian","2019-05-22",7
"Sin With Sebastian","2019-05-23",5
"Sin With Sebastian","2019-05-24",6
"Sin With Sebastian","2019-05-25",9
"Sin With Sebastian","2019-05-26",5
"Sin With Sebastian","2019-05-27",5
"Sin With Sebastian","2019-05-28",4
"Sin With Sebastian","2019-05-29",8
"Sin With Sebastian","2019-05-30",11
"Sin With Sebastian","2019-05-31",8
"Sin With Sebastian","2019-06-01",3
"Sin With Sebastian","2019-06-02",6
"Sin With Sebastian","2019-06-03",6
"Sin With Sebastian","2019-06-04",4
"Sin With Sebastian","2019-06-05",7
"Sin With Sebastian","2019-06-06",6
"Sin With Sebastian","2019-06-07",8
"Sin With Sebastian","2019-06-08",4
"Sin With Sebastian","2019-06-09",9
"Sin With Sebastian","2019-06-10",4
"Sin With Sebastian","2019-06-11",2
"Sin With Sebastian","2019-06-12",7
"Sin With Sebastian","2019-06-13",4
"Sin With Sebastian","2019-06-14",3
"Sin With Sebastian","2019-06-15",4
"Sin With Sebastian","2019-06-16",9
"Sin With Sebastian","2019-06-17",2
"Sin With Sebastian","2019-06-18",10
"Sin With Sebastian","2019-06-19",10
"Sin With Sebastian","2019-06-20",6
"Sin With Sebastian","2019-06-21",7
"Sin With Sebastian","2019-06-22",8
"Sin With Sebastian","2019-06-23",9
"Sin With Sebastian","2019-06-24",8
"Sin With Sebastian","2019-06-25",26
"Sin With Sebastian","2019-06-26",12
"Sin With Sebastian","2019-06-27",12
