"artista","fecha","visitas"
"Soft Cell","2019-03-25",28
"Soft Cell","2019-03-26",34
"Soft Cell","2019-03-27",23
"Soft Cell","2019-03-28",33
"Soft Cell","2019-03-29",42
"Soft Cell","2019-03-30",27
"Soft Cell","2019-03-31",28
"Soft Cell","2019-04-01",14
"Soft Cell","2019-04-02",22
"Soft Cell","2019-04-03",29
"Soft Cell","2019-04-04",27
"Soft Cell","2019-04-05",28
"Soft Cell","2019-04-06",29
"Soft Cell","2019-04-07",22
"Soft Cell","2019-04-08",21
"Soft Cell","2019-04-09",16
"Soft Cell","2019-04-10",31
"Soft Cell","2019-04-11",24
"Soft Cell","2019-04-12",29
"Soft Cell","2019-04-13",20
"Soft Cell","2019-04-14",20
"Soft Cell","2019-04-15",20
"Soft Cell","2019-04-16",22
"Soft Cell","2019-04-17",35
"Soft Cell","2019-04-18",34
"Soft Cell","2019-04-19",27
"Soft Cell","2019-04-20",20
"Soft Cell","2019-04-21",21
"Soft Cell","2019-04-22",29
"Soft Cell","2019-04-23",26
"Soft Cell","2019-04-24",28
"Soft Cell","2019-04-25",19
"Soft Cell","2019-04-26",22
"Soft Cell","2019-04-27",21
"Soft Cell","2019-04-28",25
"Soft Cell","2019-04-29",25
"Soft Cell","2019-04-30",33
"Soft Cell","2019-05-01",39
"Soft Cell","2019-05-02",21
"Soft Cell","2019-05-03",37
"Soft Cell","2019-05-04",23
"Soft Cell","2019-05-05",32
"Soft Cell","2019-05-06",43
"Soft Cell","2019-05-07",45
"Soft Cell","2019-05-08",29
"Soft Cell","2019-05-09",22
"Soft Cell","2019-05-10",19
"Soft Cell","2019-05-11",34
"Soft Cell","2019-05-12",36
"Soft Cell","2019-05-13",37
"Soft Cell","2019-05-14",25
"Soft Cell","2019-05-15",27
"Soft Cell","2019-05-16",15
"Soft Cell","2019-05-17",26
"Soft Cell","2019-05-18",30
"Soft Cell","2019-05-19",15
"Soft Cell","2019-05-20",34
"Soft Cell","2019-05-21",20
"Soft Cell","2019-05-22",24
"Soft Cell","2019-05-23",35
"Soft Cell","2019-05-24",15
"Soft Cell","2019-05-25",22
"Soft Cell","2019-05-26",22
"Soft Cell","2019-05-27",14
"Soft Cell","2019-05-28",29
"Soft Cell","2019-05-29",18
"Soft Cell","2019-05-30",24
"Soft Cell","2019-05-31",29
"Soft Cell","2019-06-01",33
"Soft Cell","2019-06-02",18
"Soft Cell","2019-06-03",25
"Soft Cell","2019-06-04",20
"Soft Cell","2019-06-05",31
"Soft Cell","2019-06-06",22
"Soft Cell","2019-06-07",28
"Soft Cell","2019-06-08",27
"Soft Cell","2019-06-09",20
"Soft Cell","2019-06-10",19
"Soft Cell","2019-06-11",19
"Soft Cell","2019-06-12",25
"Soft Cell","2019-06-13",38
"Soft Cell","2019-06-14",26
"Soft Cell","2019-06-15",30
"Soft Cell","2019-06-16",32
"Soft Cell","2019-06-17",19
"Soft Cell","2019-06-18",23
"Soft Cell","2019-06-19",31
"Soft Cell","2019-06-20",15
"Soft Cell","2019-06-21",21
"Soft Cell","2019-06-22",17
"Soft Cell","2019-06-23",21
"Soft Cell","2019-06-24",25
"Soft Cell","2019-06-25",86
"Soft Cell","2019-06-26",45
"Soft Cell","2019-06-27",27
