"artista","fecha","visitas"
"Sylvester James","2019-03-25",34
"Sylvester James","2019-03-26",39
"Sylvester James","2019-03-27",39
"Sylvester James","2019-03-28",60
"Sylvester James","2019-03-29",51
"Sylvester James","2019-03-30",63
"Sylvester James","2019-03-31",71
"Sylvester James","2019-04-01",34
"Sylvester James","2019-04-02",54
"Sylvester James","2019-04-03",55
"Sylvester James","2019-04-04",60
"Sylvester James","2019-04-05",45
"Sylvester James","2019-04-06",60
"Sylvester James","2019-04-07",62
"Sylvester James","2019-04-08",50
"Sylvester James","2019-04-09",56
"Sylvester James","2019-04-10",36
"Sylvester James","2019-04-11",62
"Sylvester James","2019-04-12",56
"Sylvester James","2019-04-13",64
"Sylvester James","2019-04-14",53
"Sylvester James","2019-04-15",45
"Sylvester James","2019-04-16",43
"Sylvester James","2019-04-17",57
"Sylvester James","2019-04-18",47
"Sylvester James","2019-04-19",41
"Sylvester James","2019-04-20",47
"Sylvester James","2019-04-21",47
"Sylvester James","2019-04-22",43
"Sylvester James","2019-04-23",34
"Sylvester James","2019-04-24",56
"Sylvester James","2019-04-25",39
"Sylvester James","2019-04-26",61
"Sylvester James","2019-04-27",57
"Sylvester James","2019-04-28",74
"Sylvester James","2019-04-29",45
"Sylvester James","2019-04-30",58
"Sylvester James","2019-05-01",73
"Sylvester James","2019-05-02",50
"Sylvester James","2019-05-03",58
"Sylvester James","2019-05-04",53
"Sylvester James","2019-05-05",75
"Sylvester James","2019-05-06",44
"Sylvester James","2019-05-07",51
"Sylvester James","2019-05-08",40
"Sylvester James","2019-05-09",43
"Sylvester James","2019-05-10",43
"Sylvester James","2019-05-11",55
"Sylvester James","2019-05-12",46
"Sylvester James","2019-05-13",42
"Sylvester James","2019-05-14",51
"Sylvester James","2019-05-15",41
"Sylvester James","2019-05-16",54
"Sylvester James","2019-05-17",52
"Sylvester James","2019-05-18",60
"Sylvester James","2019-05-19",47
"Sylvester James","2019-05-20",47
"Sylvester James","2019-05-21",44
"Sylvester James","2019-05-22",39
"Sylvester James","2019-05-23",45
"Sylvester James","2019-05-24",43
"Sylvester James","2019-05-25",60
"Sylvester James","2019-05-26",51
"Sylvester James","2019-05-27",42
"Sylvester James","2019-05-28",37
"Sylvester James","2019-05-29",33
"Sylvester James","2019-05-30",40
"Sylvester James","2019-05-31",37
"Sylvester James","2019-06-01",38
"Sylvester James","2019-06-02",59
"Sylvester James","2019-06-03",41
"Sylvester James","2019-06-04",30
"Sylvester James","2019-06-05",47
"Sylvester James","2019-06-06",31
"Sylvester James","2019-06-07",59
"Sylvester James","2019-06-08",60
"Sylvester James","2019-06-09",54
"Sylvester James","2019-06-10",34
"Sylvester James","2019-06-11",48
"Sylvester James","2019-06-12",43
"Sylvester James","2019-06-13",33
"Sylvester James","2019-06-14",47
"Sylvester James","2019-06-15",43
"Sylvester James","2019-06-16",53
"Sylvester James","2019-06-17",53
"Sylvester James","2019-06-18",52
"Sylvester James","2019-06-19",36
"Sylvester James","2019-06-20",30
"Sylvester James","2019-06-21",51
"Sylvester James","2019-06-22",53
"Sylvester James","2019-06-23",72
"Sylvester James","2019-06-24",52
"Sylvester James","2019-06-25",64
"Sylvester James","2019-06-26",56
"Sylvester James","2019-06-27",45
