artista,diferencia
Aitana,23
Alaska y Dinarama,0
Ana Belén,-22
Anita Ward,436
Astrud,635
Barry Ryan,210
Becky G,-16
Boney M.,-9
Buraka Som Sistema,222
Camilo Sesto,-43
Carlos Baute,-70
Chayanne,-29
Cher,5
Culture Club,30
Dani Martín,-15
Depeche Mode,2
Desireless,100
Double You,-17
Dúo Dinámico,-8
Eddy Grant,300
Elton John,-37
Enigma!,28
Enrique Guzmán ,-16
Estopa,-24
Europe,64
F. R. David,157
Gilbert Bécaud,82
Glenn Medeiros,329
Guru Josh,129
Imagination,100
Innocence,284
Julio Iglesias,-30
Kaoma,47
Karina,-34
La Oreja de Van Gogh,1
Les Surfs,436
Lionel Richie,-4
Lolita,-47
Londonbeat,69
Los Bravos,-9
Los Diablos,44
Los Payos,580
Los Planetas,36
Lou Bega,38
Luis Aguilé,107
Luis Fonsi,-53
Manolo Otero,227
Mecano,-22
Miguel Ángel Muñoz,-22
Mike Oldfield,72
Natti Natasha,-28
Nino Bravo,91
Pablo Abraira,325
Patrick Hernández,241
Pic-nic,131
Pop-Tops,152
Raphael,-68
Raúl,96
Ricardo Cocciante,100
Richard Anthony,181
Roberto Carlos,-26
Roxette,74
Sandie Shaw,415
Sandro Giacobbe,661
Silver Convention,31
The Communards,129
Tom Jones,2
Umberto Tozzi,121
Violadores del Verso,28
Víctor Manuel,-9
Whigfield,25
21 Japonesas,1887
Alejandro Sanz,-22
Amaral,30
Amistades Peligrosas,56
Ana Torroja,-44
Celtas Cortos,54
Christina y Los Subterráneos,208
Ciudad Jardín,828
Cómplices,97
David Santisteban,1500
David Summers,-36
Diego Vasallo,256
Ella Baila Sola,64
Emilio Aragón,93
Enrique Iglesias,-14
Esclarecidos,569
Gabinete Caligari,92
Greta y los Garbo,1500
Jarabedepalo,9
Jesús Vázquez,10
José Ángel Hevia,400
Ketama,-4
Kiko Veneno,109
La Guardia,440
La Oreja de Van Gogh,23
La trampa,0
Loquillo,12
Los Flechazos,1000
Los Inhumanos,198
Los Limones,670
Los Piratas,214
Los Romeos,1927
Los Ronaldos,28
Los Sencillos,482
Los Toreros Muertos,10
Los lunes que quedan,533
Mercedes Ferrer,1263
Mikel Erentxun,66
Modestia Aparte,253
Mónica Naranjo,-54
Nacho Cano,-10
No me pises que llevo chanclas,255
OBK,-2
Objetivo Birmania,682
Olé Olé,13
